radar,date,time,pulse,dataset,elevation_deg,finite_gate_count,receiver_noise_count,receiver_noise_fraction,receiver_noise_max_dbz,receiver_noise_ge_10_dbz,receiver_noise_ge_20_dbz,ci_finite_count,ci_low_count,ci_high_count,near_zero_vrad_count,low_sqi_count,receiver_noise_figure_h_db,receiver_noise_figure_v_db,ambient_noise_h_median,ambient_noise_v_median,source_url
chenies,20260415,1200,lp,dataset2,1.0,153000,17864,0.11675816993464053,-9.5,0,0,153000,5196,131763,29329,38933,4.41,4.3,28.350000381469727,27.360000610351562,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/chenies/2026/04/15/lp/20260415_polar_pl_radar05_aggregate_lp_1200.h5
chenies,20260415,1200,lp,dataset3,2.0,153000,4973,0.032503267973856206,-7.799999237060547,0,0,153000,3698,89518,25014,19975,4.22,4.13,28.219999313354492,27.219999313354492,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/chenies/2026/04/15/lp/20260415_polar_pl_radar05_aggregate_lp_1200.h5
chenies,20260415,1200,lp,dataset4,3.0,153000,5149,0.03365359477124183,-8.600000381469727,0,0,153000,3796,89704,24838,20792,4.09,3.97,28.149999618530273,27.149999618530273,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/chenies/2026/04/15/lp/20260415_polar_pl_radar05_aggregate_lp_1200.h5
chenies,20260415,1200,lp,dataset5,4.0,153000,5478,0.03580392156862745,-8.19999885559082,0,0,153000,3308,90023,24276,21462,4.15,3.99,28.110000610351562,27.09000015258789,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/chenies/2026/04/15/lp/20260415_polar_pl_radar05_aggregate_lp_1200.h5
chenies,20260415,1200,sp,dataset1,1.0,68040,12875,0.18922692533803645,12.799999237060547,4710,0,68040,1807,59741,7228,40931,,,-32.0,-32.0,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/chenies/2026/04/15/sp/20260415_polar_pl_radar05_aggregate_sp_1200.h5
chenies,20260415,1200,sp,dataset2,2.0,68040,15342,0.22548500881834216,12.60000228881836,5106,0,68040,1103,62648,4509,42520,,,-32.0,-32.0,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/chenies/2026/04/15/sp/20260415_polar_pl_radar05_aggregate_sp_1200.h5
chenies,20260415,1200,sp,dataset3,4.0,68040,16633,0.2444591416813639,12.5,4946,0,68040,973,63615,3681,45853,,,-32.0,-32.0,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/chenies/2026/04/15/sp/20260415_polar_pl_radar05_aggregate_sp_1200.h5
chenies,20260415,1200,sp,dataset4,6.0,68040,17576,0.25831863609641387,12.400001525878906,5029,0,68040,568,64661,3006,48223,,,-32.0,-32.0,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/chenies/2026/04/15/sp/20260415_polar_pl_radar05_aggregate_sp_1200.h5
chenies,20260415,1200,sp,dataset5,9.0,68040,18653,0.2741475602586714,12.400001525878906,5047,0,68040,546,64840,2757,49352,,,-32.0,-32.0,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/chenies/2026/04/15/sp/20260415_polar_pl_radar05_aggregate_sp_1200.h5
chenies,20260415,1200,sp,dataset6,89.9,57600,1010,0.017534722222222222,-7.69999885559082,0,0,57600,5468,35889,10031,6902,,,-32.0,-32.0,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/chenies/2026/04/15/sp/20260415_polar_pl_radar05_aggregate_sp_1200.h5
